mean
L,p0.011,p0.012,p0.013,p0.014,p0.015,p0.016,p0.017,p0.018,p0.019
5,251.1400000000005,205.00000000000026,154.33000000000027,126.34000000000005,102.21000000000016,84.05000000000027,69.65000000000008,60.47000000000013,53.06000000000012
7,448.1499999999999,308.3400000000004,226.00000000000017,165.09000000000012,130.93000000000004,102.06000000000012,83.86000000000016,69.72000000000014,57.840000000000096
9,611.8000000000001,402.8499999999997,285.2199999999999,198.40000000000006,152.1200000000003,113.72000000000006,86.42000000000009,66.98000000000022,56.610000000000085
13,1411.62,798.8699999999999,482.52999999999986,293.51999999999936,207.61999999999995,148.14000000000024,99.44000000000005,74.1700000000001,59.720000000000226
19,3396.8,1533.4999999999986,769.499999999999,430.14999999999986,244.57000000000016,145.3200000000001,95.50000000000017,72.14000000000003,51.06000000000015

error
L,p0.011,p0.012,p0.013,p0.014,p0.015,p0.016,p0.017,p0.018,p0.019
5,249.8561594197741,205.55631831690272,145.60546383978843,118.4955881035241,103.81433378874014,79.64230973546627,62.14963797159226,53.29426892265231,46.41590675619711
7,471.3693641933051,296.1311270366552,212.7444476361249,152.87770242909838,132.9414724606284,95.68989706337855,77.9211165217746,65.16840952486089,50.67676390615315
9,558.3115259422832,393.2548505740271,286.4774888189298,196.25249043005772,143.2819095350142,106.70220991151018,85.90799497136442,58.97185430355703,49.0062026686416
13,1368.7969080911885,765.1130786360918,471.3695992530701,294.4204639626809,200.48924060906594,143.21012673690345,93.95151089790953,60.59299546977342,50.425406294842794
19,3468.426928738735,1536.1959347687396,775.1027996337011,410.44497499664976,224.7607952913492,129.69848726951295,82.68101353998965,57.673394212583005,39.500334175801484
